Element	Transition Probability
   1		      0.0625
   2		      0.0625
   3		      0.0625
   4		      0.0625
   5		      0.0625
   6		      0.0625
   7		      0.0625
   8		      0.0625
   9		      0.0625
   10		      0.0273438
   11		      0.0119143
   12		      0.015648
   13		      0.0273438
   14		      0.0119143
   15		      0.015648
   16		      0.0119143
   17		      0.0119143
   18		      0.00923587
   19		      0.00861408
   20		      0.0273438
   21		      0.0139001
   22		      0.00694118
   23		      0.0234499
   24		      0.00916823
   25		      0.0273438
   26		      0.0273438
   27		      0.0231781
   28		      0.0273438
   29		      0.0273438
   30		      0.0231781
   31		      0.00545863
   32		      0.00784379
   33		      0.00487303
   34		      1.25343e-06
   35		      0.00719772
   36		      0.00399719
   37		      0.00719772
   38		      0.0119143
   39		      0.00666009
   40		      0.0119143
   41		      0.0119143
   42		      0.00923587
   43		      1.63279e-09
   44		      5.34985e-06
   45		      3.67528e-06
   46		      7.89333e-06
   47		      5.34985e-06
   48		      7.91548e-06
   49		      0.0273438
   50		      0.0273438
   51		      0.0231781
   52		      0.0378265
   53		      0.0273438
   54		      0.0090332
   55		      0.00185933
   56		      0.00507622
   57		      5.51153e-05
   58		      0.00923587
   59		      0.00666009
   60		      0.00399719
   61		      0.00487303
