Element	Transition Probability
   1		      0.0625
   2		      0.0625
   3		      0.0625
   4		      0.0625
   5		      0.0625
   6		      0.0273438
   7		      0.0273438
   8		      0.0273438
   9		      0.0273438
   10		      0.0273438
   11		      0.015625
   12		      0.015625
   13		      0.015625
   14		      0.015625
   15		      0.015625
   16		      0.0273438
   17		      0.0090332
   18		      0.0273438
   19		      0.0090332
   20		      0.0273438
   21		      0.0090332
   22		      0.0273438
   23		      0.0090332
   24		      0.010363
   25		      0.010363
   26		      0.00681986
   27		      0.0273438
   28		      0.0273438
   29		      0.0090332
   30		      0.0090332
   31		      0.0090332
   32		      0.0090332
   33		      0.0195131
   34		      0.010363
   35		      0.00891668
   36		      0.00585174
   37		      0.0273438
   38		      0.00347972
   39		      0.0273438
   40		      0.00347972
   41		      0.00858062
   42		      0.00347972
   43		      0.0273438
   44		      0.00347972
   45		      0.00322397
   46		      0.00322397
   47		      0.00138376
   48		      0.00858062
   49		      0.0273438
   50		      0.00347972
   51		      0.00347972
   52		      0.0090332
   53		      0.0090332
   54		      0.00495753
   55		      0.00618064
   56		      0.00594568
   57		      0.0015335
   58		      0.0273438
   59		      0.0020781
   60		      0.0273438
   61		      0.0020781
   62		      0.00491425
   63		      0.0020781
   64		      0.0273438
   65		      0.0020781
   66		      0.00186245
   67		      0.00186245
   68		      0.000747984
   69		      0.00491425
   70		      0.0273438
   71		      0.0020781
   72		      0.0020781
   73		      0.0090332
   74		      0.0090332
   75		      0.00274884
   76		      0.00523991
   77		      0.00532761
   78		      0.00103341
   79		      0.0273438
   80		      0.00161459
   81		      0.0273438
   82		      0.00161459
   83		      0.00380121
   84		      0.00161459
   85		      0.0273438
   86		      0.00161459
   87		      0.00144268
   88		      0.00144268
   89		      0.000575913
   90		      0.00380121
   91		      0.0273438
   92		      0.00161459
   93		      0.00161459
   94		      0.0090332
   95		      0.0090332
   96		      0.0021205
   97		      0.00496185
   98		      0.00516111
   99		      0.000914773
   100		      0.0273438
   101		      0.00145037
   102		      0.0273438
   103		      0.00145037
   104		      0.00341315
   105		      0.00145037
   106		      0.0273438
   107		      0.00145037
   108		      0.00129575
   109		      0.00129575
   110		      0.000517102
   111		      0.00509437
   112		      0.00509437
   113		      0.00337486
   114		      0.0090332
   115		      0.0107422
   116		      0.00921845
   117		      0.00462763
   118		      0.00252605
   119		      0.00253991
   120		      0.00210941
   121		      0.00210941
   122		      0.00119818
   123		      0.0090332
   124		      0.0107422
   125		      0.00921845
   126		      0.00462763
   127		      0.00114622
   128		      0.00189103
   129		      0.00128892
   130		      0.00128892
   131		      0.000721485
   132		      0.0090332
   133		      0.0107422
   134		      0.00921845
   135		      0.00462763
   136		      0.000708297
   137		      0.0017094
   138		      0.00100498
   139		      0.00100498
   140		      0.00056197
   141		      0.0090332
   142		      0.0107422
   143		      0.00921845
   144		      0.00462763
   145		      0.000553061
   146		      0.00164734
   147		      0.000903433
   148		      0.000903433
   149		      0.000505207
   150		      0.0090332
   151		      0.0107422
   152		      0.00921845
   153		      0.00462763
   154		      0.000497314
   155		      0.00162527
   156		      7.23218e-08
   157		      0.00405742
   158		      0.00140665
   159		      4.48883e-07
   160		      0.0273438
   161		      6.14152e-08
   162		      0.0273438
   163		      6.14152e-08
   164		      0.0273438
   165		      0.00396729
   166		      0.0273438
   167		      0.00267029
   168		      0.00610352
   169		      0.000175416
   170		      9.34715e-05
   171		      0.0273438
   172		      3.15793e-05
   173		      0.0273438
   174		      3.15793e-05
   175		      3.08402e-05
   176		      0.0273438
   177		      0.0273438
   178		      0.0231781
   179		      6.999e-05
   180		      4.28687e-05
   181		      2.24349e-08
   182		      3.46994e-10
   183		      0.00140665
   184		      0.00253991
   185		      0.00189103
   186		      0.0017094
   187		      0.00164734
   188		      0.00162527
   189		      3.08402e-05
   190		      3.46994e-10
