Element	Transition Probability
   1		      0.0625
   2		      0.0625
   3		      0.0625
   4		      0.0625
   5		      0.0625
   6		      0.0273438
   7		      0.0273438
   8		      0.0273438
   9		      0.0273438
   10		      0.0273438
   11		      0.0273438
   12		      0.0090332
   13		      0.0273438
   14		      0.0090332
   15		      0.0273438
   16		      0.0090332
   17		      0.0273438
   18		      0.0090332
   19		      0.010363
   20		      0.010363
   21		      0.00681986
   22		      0.0273438
   23		      0.0107422
   24		      0.00396729
   25		      0.00396729
   26		      0.00396729
   27		      0.00396729
   28		      0.0155127
   29		      0.00401353
   30		      0.00304526
   31		      0.00266073
   32		      0.0273438
   33		      0.00259427
   34		      0.0273438
   35		      0.00259427
   36		      0.00621485
   37		      0.00259427
   38		      0.0273438
   39		      0.00259427
   40		      0.00234817
   41		      0.00234817
   42		      0.000961901
   43		      0.00621485
   44		      0.0273438
   45		      0.00259427
   46		      0.00259427
   47		      0.0090332
   48		      0.0090332
   49		      0.00350975
   50		      0.00557623
   51		      0.00554362
   52		      0.00119687
   53		      0.0273438
   54		      0.00179082
   55		      0.0273438
   56		      0.00179082
   57		      0.00422154
   58		      0.00179082
   59		      0.0273438
   60		      0.00179082
   61		      0.00160146
   62		      0.00160146
   63		      0.000640353
   64		      0.00422154
   65		      0.0273438
   66		      0.00179082
   67		      0.00179082
   68		      0.0090332
   69		      0.0090332
   70		      0.00235664
   71		      0.00506626
   72		      0.00522291
   73		      0.000958428
   74		      0.0273438
   75		      0.00151315
   76		      0.0273438
   77		      0.00151315
   78		      0.00356133
   79		      0.00151315
   80		      0.0273438
   81		      0.00151315
   82		      0.00135187
   83		      0.00135187
   84		      0.000539528
   85		      0.00356133
   86		      0.0273438
   87		      0.00151315
   88		      0.00151315
   89		      0.0090332
   90		      0.0090332
   91		      0.00198657
   92		      0.00490316
   93		      0.00512715
   94		      0.000890949
   95		      0.0273438
   96		      0.00141401
   97		      0.0273438
   98		      0.00141401
   99		      0.00332748
   100		      0.00141401
   101		      0.0273438
   102		      0.00141401
   103		      0.00126329
   104		      0.00126329
   105		      0.000504165
   106		      0.0273438
   107		      0.015625
   108		      0.015625
   109		      0.015625
   110		      0.015625
   111		      0.015625
   112		      0.015625
   113		      0.00509437
   114		      0.00509437
   115		      0.00337486
   116		      0.0090332
   117		      0.0107422
   118		      0.00921845
   119		      0.00462763
   120		      0.00252605
   121		      0.00253991
   122		      0.00159714
   123		      0.00159714
   124		      0.000897677
   125		      0.0090332
   126		      0.0107422
   127		      0.00921845
   128		      0.00462763
   129		      0.000874699
   130		      0.00177757
   131		      0.00111337
   132		      0.00111337
   133		      0.000622736
   134		      0.0090332
   135		      0.0107422
   136		      0.00921845
   137		      0.00462763
   138		      0.00061243
   139		      0.00167099
   140		      0.000942288
   141		      0.000942288
   142		      0.00052692
   143		      0.0090332
   144		      0.00462763
   145		      0.00623823
   146		      0.0028597
   147		      0.000518653
   148		      0.00110108
   149		      0.000880901
   150		      0.000880901
   151		      0.000492622
   152		      0.0090332
   153		      0.0107422
   154		      0.00921845
   155		      0.00462763
   156		      0.000484933
   157		      0.00162038
   158		      0.0273438
   159		      5.95139e-08
   160		      0.0273438
   161		      5.95139e-08
   162		      0.0273438
   163		      0.00396729
   164		      0.0273438
   165		      0.00267029
   166		      7.00802e-08
   167		      0.00405742
   168		      0.00140653
   169		      4.34936e-07
   170		      0.0273438
   171		      0.0273438
   172		      0.00610352
   173		      0.000173268
   174		      9.28204e-05
   175		      3.13827e-05
   176		      3.13827e-05
   177		      3.06455e-05
   178		      0.0273438
   179		      0.0273438
   180		      0.0231781
   181		      0.0273438
   182		      0.0090332
   183		      0.0107422
   184		      0.00921845
   185		      6.59524e-05
   186		      2.71701e-05
   187		      1.32038e-08
   188		      2.03053e-10
   189		      0.00140653
   190		      0.00253991
   191		      0.00177757
   192		      0.00167099
   193		      0.00110108
   194		      0.00162038
   195		      3.06455e-05
   196		      2.03053e-10
